x1,x2,x3,x4,x5,x6,x7,x8
-10.248619398364326,-9.515339277863836,-7.474421132077213,-8.59904854598968,4.82554779e6,1000.0,1.0,1.0
-9.998083502230106,-6.667443666638301,-7.477608536195021,-4.913565100507203,4.51895375e6,1000.0,2.0,1.0
-8.690865177423554,-5.451830504188603,-7.413739275945572,-2.9017422519448264,3.71389769e6,1000.0,3.0,1.0
-7.170099304298619,-5.825829291332784,-7.372881138179939,-2.3379878528723523,3.22573543e6,1000.0,4.0,1.0
-6.587453365360107,-4.977183068719359,-7.304679965543448,-2.0278531858187656,2.86495648e6,1000.0,5.0,1.0
-6.17641344641855,-4.675430501917448,-7.236310614499956,-1.7530349939544188,2.5049626e6,1000.0,6.0,1.0
-6.120479278998452,-4.486542777101932,-7.185681345169484,-1.7437336855917174,2.19058351e6,1000.0,7.0,1.0
-7.183432938431548,-5.402563544417653,-7.143126873851497,-1.6589367888461108,2.02683051e6,1000.0,8.0,1.0
-6.53824500945986,-5.556930778969536,-7.0901395246812875,-1.613126687366316,1.61036821e6,1000.0,9.0,1.0
-7.050904532711587,-6.312877180373045,-7.0176407347602225,-1.497523834275421,1.35687267e6,1000.0,10.0,1.0
-5.802617466847554,-5.97894690844573,-6.967092769110706,-1.4376168102294429,1.02699821e6,1000.0,11.0,1.0
-6.29679570810783,-6.330474162224062,-6.9207483232330755,-1.393132237745374,719604.11,1000.0,12.0,1.0
-6.170871820477414,-5.425004510467297,-6.872577110268199,-1.2961346311235462,574917.66,1000.0,13.0,1.0
-6.159182598719557,-5.116568761605078,-6.810611572036055,-1.2429606414779053,415863.8,1000.0,14.0,1.0
-5.639122528696851,-5.034401223874813,-6.7534061287382485,-1.168863957598339,293592.67,1000.0,15.0,1.0
-6.4440620221008,-6.137752883768547,-6.719308224131048,-1.093284635691031,212489.06,1000.0,16.0,1.0
-6.837348924665694,-5.7599062135077785,-6.68064763250865,-1.0014615464132752,148620.79,1000.0,17.0,1.0
-6.69155389456129,-5.822064456930321,-6.644516108823281,-0.947519899356783,138662.99,1000.0,18.0,1.0
-5.5218365882000215,-5.4813668126797435,-6.614499395699962,-0.928857768039714,128811.17,1000.0,19.0,1.0
-5.145471131028482,-4.741346587663665,-6.5853942574534985,-0.9161432081839165,126119.24,1000.0,20.0,1.0
-4.5958548160926815,-5.179915716262466,-6.573702864086931,-0.9188946719448394,129098.61,1000.0,21.0,1.0
-4.664078138230966,-5.533844380961806,-6.5532304236946075,-0.8869253318951469,131292.16,1000.0,22.0,1.0
-4.378293830437026,-4.753565138218468,-6.542610253437592,-0.8801867542619086,125473.8,1000.0,23.0,1.0
-4.482275029904512,-4.689340905424247,-6.547374584860256,-0.9035240517533902,124372.6156443444,1777.0,24.0,1.0
-4.146959827042887,-5.228907141092858,-6.5483612704981216,-0.9105427780171135,121116.54867754642,1777.0,25.0,1.0
-4.030580202839239,-5.072026396366642,-6.548534557758027,-0.9032946308581298,115273.9594822735,1777.0,26.0,1.0
-4.317209222694153,-5.603760568422239,-6.557107715346888,-0.9106637348301134,118292.28619670747,2369.0,27.0,1.0
-4.1985088442758585,-5.625398964973133,-6.563915861666651,-0.9183965468988622,114370.23254985755,5616.0,28.0,1.0
-4.3110265009345765,-5.197457189551001,-6.565202431663813,-0.9111032879003249,116868.34650997151,5616.0,29.0,1.0
-4.126064415290642,-5.374039431119397,-6.56390531565751,-0.918463786531595,113330.53064903845,9984.0,30.0,1.0
-4.052333166740852,-5.192413799266057,-6.556743704721606,-0.9110368169480336,111026.76502403845,9984.0,31.0,1.0
-4.036461127398338,-4.69763653516811,-6.558130606891016,-0.9142135689359754,109875.55003004808,13312.0,32.0,1.0
-4.036461127398338,-4.69763653516811,-6.558130606891016,-0.9142135689359754,110099.7545,20000.0,33.0,1.0
-4.201352045198363,-5.399723876802458,-6.564669985000811,-0.9037140634925325,109589.8825,20000.0,34.0,1.0
-4.072759920789535,-6.037404133411095,-6.559555904440065,-0.910699929048302,108590.7715,20000.0,35.0,1.0
-4.020388534037524,-5.606871369342122,-6.556042003008189,-0.8832781820115148,105747.5535,20000.0,36.0,1.0
-4.020388534037524,-5.606871369342122,-6.556042003008189,-0.8832781820115148,109995.992,20000.0,37.0,1.0
